AccountNumber,CustomerID,AccountType,AccountBalance,DateAccountOpening,LastTransactionDate,BranchID,DateAccountClosing,BankerID
104877,4877,Current,"4,941.13",11/6/2022,12/6/2022,21,10/26/2023,
102480,2480,Current,"3,927.82",3/30/2016,12/5/2022,46,10/27/2023,
100865,865,Savings,"4,098.52",8/23/2003,12/5/2022,63,10/28/2023,
103700,3700,Savings,"5,709.62",7/17/2000,12/5/2022,11,10/29/2023,
101499,1499,Current,"6,303.29",11/4/2022,12/4/2022,79,10/30/2023,
101845,1845,Savings,"9,299.98",1/17/2010,12/4/2022,62,10/31/2023,
103845,3845,Current,"6,686.77",11/21/2005,12/4/2022,99,11/1/2023,
104595,4595,Savings,"8,882.92",4/5/2011,12/3/2022,45,11/2/2023,
104190,4190,Savings,"7,911.35",7/11/2009,12/3/2022,22,11/3/2023,
102620,2620,Savings,"6,585.80",3/3/2007,12/3/2022,20,11/4/2023,
100930,930,Savings,"4,317.41",12/15/2006,12/3/2022,10,11/5/2023,
100720,720,Current,"7,125.31",9/30/2004,12/3/2022,89,11/6/2023,
102865,2865,Current,"7,215.66",5/11/2018,12/2/2022,12,11/7/2023,
103425,3425,Current,"5,150.46",10/30/2014,12/2/2022,49,11/8/2023,
102530,2530,Savings,"4,130.73",11/17/2022,12/1/2022,16,11/9/2023,
101424,1424,Current,"6,302.38",11/1/2022,12/1/2022,65,11/10/2023,
104287,4287,Savings,"7,037.88",11/1/2022,12/1/2022,51,11/11/2023,
101895,1895,Current,"3,106.09",3/24/2018,12/1/2022,19,11/12/2023,
104115,4115,Savings,"2,870.93",11/25/2016,12/1/2022,8,11/13/2023,
102920,2920,Savings,"7,044.21",6/18/2020,11/30/2022,80,11/14/2023,
101180,1180,Savings,"7,062.27",6/11/2017,11/29/2022,46,11/15/2023,
102340,2340,Current,"3,911.65",5/4/2016,11/29/2022,86,11/16/2023,
100960,960,Current,"9,980.68",12/4/2012,11/29/2022,98,11/17/2023,
102210,2210,Savings,"8,111.38",9/21/2012,11/29/2022,24,,
103640,3640,Savings,"6,467.94",11/3/2001,11/29/2022,10,,
102293,2293,Savings,"7,756.67",10/29/2022,11/28/2022,48,,
100500,500,Current,"3,857.97",6/30/2016,11/28/2022,21,,
102815,2815,Current,"6,837.82",1/22/2013,11/28/2022,16,,
100405,405,Current,"5,407.22",8/17/2009,11/28/2022,2,,
102842,2842,Current,"8,873.02",10/28/2022,11/27/2022,11,,
103761,3761,Current,"4,895.33",10/28/2022,11/27/2022,64,,
103852,3852,Savings,"2,932.13",10/28/2022,11/27/2022,12,,
101285,1285,Current,"7,950.55",1/19/2014,11/27/2022,70,,
100790,790,Current,"8,558.81",11/24/2003,11/27/2022,34,,
104360,4360,Savings,"2,891.02",6/27/2000,11/27/2022,31,,
104940,4940,Current,"9,060.90",10/3/2020,11/26/2022,98,,
101210,1210,Savings,"5,906.86",10/31/2006,11/26/2022,48,,
103175,3175,Current,"5,341.48",5/14/2006,11/26/2022,9,,
100300,300,Current,"1,294.07",4/23/2005,11/26/2022,17,,
102980,2980,Current,"7,166.25",11/14/2016,11/25/2022,88,,
102670,2670,Current,740.06,1/30/2014,11/25/2022,97,,
100681,681,Savings,"9,251.21",10/25/2022,11/24/2022,7,,
104670,4670,Savings,"9,121.15",10/25/2022,11/24/2022,32,,
104860,4860,Current,361.74,7/29/2022,11/24/2022,53,,
101635,1635,Current,"2,883.85",10/28/2017,11/24/2022,97,,
104635,4635,Current,"8,894.99",12/6/2013,11/24/2022,56,,
104715,4715,Current,"7,333.20",2/26/2007,11/24/2022,77,,
101107,1107,Current,"4,947.16",10/24/2022,11/23/2022,39,,
100110,110,Savings,"9,715.71",4/12/2015,11/23/2022,8,,
102440,2440,Current,"1,874.13",2/26/2013,11/23/2022,62,,
102410,2410,Savings,"7,856.10",11/11/2007,11/23/2022,33,,
102452,2452,Current,"4,900.84",10/23/2022,11/22/2022,67,,
101745,1745,Current,"5,766.05",4/27/2019,11/22/2022,90,,
104100,4100,Savings,"9,966.54",7/8/2015,11/22/2022,76,,
100380,380,Current,"7,687.87",2/15/2001,11/22/2022,1,,
101360,1360,Current,570.53,10/11/2000,11/20/2022,70,,
101418,1418,Current,"3,949.90",10/20/2022,11/19/2022,43,,
101625,1625,Savings,"2,671.12",11/19/2018,11/19/2022,68,,
103735,3735,Savings,"5,482.11",11/25/2000,11/19/2022,36,,
101121,1121,Current,"3,324.80",10/19/2022,11/18/2022,92,,
103492,3492,Current,"1,285.52",10/19/2022,11/18/2022,72,,
103998,3998,Savings,938.72,10/19/2022,11/18/2022,70,,
104517,4517,Current,658.26,10/19/2022,11/18/2022,54,,
100910,910,Savings,"2,694.58",10/3/2019,11/18/2022,55,,
100635,635,Current,"2,697.94",6/24/2018,11/17/2022,37,,
102680,2680,Current,"4,358.92",8/23/2013,11/17/2022,80,,
104870,4870,Current,"4,880.76",12/13/2011,11/17/2022,88,,
101660,1660,Savings,"3,271.27",1/14/2000,11/17/2022,5,,
100270,270,Savings,"9,570.40",6/11/2019,11/16/2022,76,,
100325,325,Current,"6,482.84",2/19/2017,11/16/2022,70,,
102848,2848,Current,"5,665.90",10/16/2022,11/15/2022,42,,
101492,1492,Savings,"3,687.31",10/15/2022,11/14/2022,62,,
101045,1045,Current,440.25,4/28/2019,11/14/2022,86,,
104770,4770,Savings,"4,918.98",9/9/2017,11/14/2022,20,,
104655,4655,Current,"7,635.53",5/27/2014,11/14/2022,5,,
102935,2935,Savings,"5,607.61",7/14/2010,11/14/2022,45,11/20/2023,
101185,1185,Savings,"1,972.59",3/19/2008,11/14/2022,19,,
100515,515,Current,"7,074.04",5/13/2005,11/14/2022,1,,
101130,1130,Savings,"6,124.31",10/14/2022,11/13/2022,9,,
103081,3081,Current,"8,757.09",10/14/2022,11/13/2022,21,,
104837,4837,Savings,"9,275.46",10/14/2022,11/13/2022,50,,
102745,2745,Savings,"5,508.12",11/13/2006,11/13/2022,93,,
100755,755,Current,"2,779.83",7/28/2006,11/13/2022,7,,
100815,815,Current,"1,981.57",10/15/2001,11/13/2022,90,,
100845,845,Savings,"4,877.48",10/27/2017,11/12/2022,35,,
101700,1700,Current,517.61,6/23/2015,11/12/2022,35,,
104242,4242,Current,"4,026.41",10/12/2022,11/11/2022,31,,
104005,4005,Current,"1,439.86",2/2/2016,11/10/2022,45,,
100275,275,Current,"1,209.63",1/19/2002,11/10/2022,7,,
100389,389,Savings,"1,588.59",10/10/2022,11/9/2022,26,,
104128,4128,Savings,"1,300.83",10/10/2022,11/9/2022,56,,
102760,2760,Savings,"7,194.15",5/12/2019,11/9/2022,54,,
101065,1065,Current,"6,223.02",6/24/2015,11/9/2022,77,,
100475,475,Current,"8,301.18",5/9/2005,11/9/2022,80,,
103225,3225,Savings,"5,525.99",4/28/2019,11/8/2022,34,,
102780,2780,Current,"9,065.62",3/14/2016,11/8/2022,72,,
104890,4890,Savings,"6,421.12",10/2/2002,11/8/2022,71,,
101795,1795,Current,"7,534.97",5/18/2002,11/8/2022,10,,
101101,1101,Savings,"7,879.74",10/8/2022,11/7/2022,71,,
101441,1441,Savings,399.9,10/8/2022,11/7/2022,70,,
100395,395,Current,"1,892.13",8/30/2017,11/7/2022,62,,
103180,3180,Savings,"7,639.25",8/19/2003,11/6/2022,15,,
101930,1930,Savings,"2,635.70",10/6/2022,11/5/2022,51,,
104520,4520,Current,"3,067.23",9/14/2021,11/5/2022,56,,
100895,895,Savings,"3,377.41",1/11/2017,11/5/2022,27,,
104200,4200,Current,"6,719.67",7/2/2015,11/5/2022,90,,
104720,4720,Current,"1,411.89",9/6/2004,11/5/2022,40,,
101240,1240,Savings,989.37,8/13/2003,11/5/2022,86,,
104180,4180,Savings,"6,036.89",10/5/2022,11/4/2022,54,,
104825,4825,Savings,"8,573.43",8/3/2013,11/4/2022,32,,
100505,505,Current,"4,214.05",4/2/2011,11/4/2022,45,,
103920,3920,Savings,"8,978.13",3/5/2019,11/3/2022,17,,
104205,4205,Current,"2,900.42",3/3/2019,11/3/2022,26,,
104075,4075,Current,"2,006.94",9/3/2016,11/3/2022,77,,
104645,4645,Current,"7,068.31",2/16/2016,11/3/2022,89,,
103615,3615,Savings,"7,180.17",4/18/2001,11/2/2022,66,,
103070,3070,Current,"8,037.66",8/16/2019,11/1/2022,19,,
102600,2600,Current,"6,311.18",5/7/2018,11/1/2022,71,,
100760,760,Savings,"3,235.52",5/11/2011,11/1/2022,70,,
102425,2425,Savings,"2,350.46",6/8/2003,11/1/2022,16,,
100026,26,Current,464.86,10/1/2022,10/31/2022,20,1/19/2023,
101850,1850,Current,"1,575.79",12/25/2020,10/31/2022,4,,
101145,1145,Savings,"6,275.92",12/13/2016,10/31/2022,56,,
102590,2590,Current,"5,458.46",4/17/2013,10/31/2022,31,,
102934,2934,Current,"9,920.78",9/30/2022,10/30/2022,41,,
100315,315,Savings,"5,728.60",12/14/2014,10/30/2022,87,,
100065,65,Savings,"7,501.74",7/17/2009,10/30/2022,23,,
103515,3515,Savings,"4,973.22",6/22/2010,10/29/2022,95,,
102075,2075,Current,"3,299.66",5/15/2009,10/29/2022,62,,
104065,4065,Current,"3,787.96",3/31/2000,10/29/2022,32,,
104605,4605,Savings,"1,074.64",6/5/2009,10/28/2022,65,,
100080,80,Current,"9,461.48",2/24/2002,10/28/2022,58,,
102660,2660,Savings,"5,349.46",6/16/2001,10/28/2022,60,,
100655,655,Current,"3,874.31",9/27/2022,10/27/2022,56,,
103150,3150,Current,"6,450.05",3/3/2019,10/27/2022,32,,
102085,2085,Savings,"7,143.60",7/4/2016,10/27/2022,61,,
104780,4780,Savings,"4,179.85",2/2/2006,10/27/2022,86,,
100310,310,Current,"2,759.91",6/5/2001,10/27/2022,17,,
103690,3690,Savings,"2,395.56",10/4/2022,10/26/2022,74,,
104480,4480,Savings,"5,185.86",11/30/2014,10/26/2022,91,,
102765,2765,Savings,"5,466.00",6/23/2003,10/26/2022,18,,
104525,4525,Current,"6,429.56",12/8/2001,10/26/2022,61,,
101292,1292,Savings,"5,245.57",9/25/2022,10/25/2022,97,,
101755,1755,Savings,"1,411.02",8/30/2006,10/25/2022,92,,
100550,550,Savings,"6,470.34",12/7/2002,10/25/2022,61,,
103342,3342,Savings,"2,383.36",9/24/2022,10/24/2022,70,,
102835,2835,Savings,"3,404.60",11/16/2018,10/24/2022,52,,
102555,2555,Savings,"4,172.88",3/20/2015,10/24/2022,77,,
101310,1310,Savings,"4,665.11",10/25/2017,10/23/2022,58,,
101545,1545,Current,"1,335.74",3/25/2009,10/23/2022,13,,
104070,4070,Current,"1,827.54",8/22/2008,10/23/2022,5,,
100950,950,Current,"9,812.60",8/24/2007,10/23/2022,90,,
102310,2310,Current,"6,416.43",3/20/2004,10/23/2022,62,,
101550,1550,Savings,"1,447.67",8/14/2019,10/22/2022,59,,
100990,990,Current,"9,551.37",6/1/2019,10/22/2022,92,,
103890,3890,Current,"4,127.27",3/11/2019,10/22/2022,67,,
100245,245,Savings,"9,384.68",5/6/2014,10/22/2022,66,,
100145,145,Current,935.43,2/21/2007,10/22/2022,1,,
100830,830,Savings,"9,948.56",1/3/2006,10/22/2022,37,,
103810,3810,Savings,"6,649.77",11/18/2000,10/22/2022,76,,
104045,4045,Current,"9,571.75",5/15/2010,10/21/2022,17,,
101780,1780,Current,"8,804.41",5/6/2009,10/21/2022,65,,
103000,3000,Current,"5,645.12",10/23/2000,10/21/2022,45,,
102230,2230,Savings,"3,658.32",2/22/2000,10/21/2022,12,,
100532,532,Savings,"5,863.86",9/20/2022,10/20/2022,75,,
100390,390,Savings,"7,237.78",10/30/2019,10/20/2022,68,,
102015,2015,Current,"9,136.95",2/24/2018,10/20/2022,55,,
101405,1405,Savings,"4,960.62",7/28/2014,10/20/2022,72,,
104415,4415,Current,"2,364.14",4/15/2004,10/20/2022,38,,
102785,2785,Savings,"2,306.61",2/8/2004,10/19/2022,30,,
104535,4535,Current,"9,592.53",7/22/2001,10/19/2022,75,,
102485,2485,Savings,"3,569.89",5/9/2022,10/18/2022,7,,
101520,1520,Savings,"9,690.77",3/6/2018,10/18/2022,18,,
104685,4685,Current,"7,824.06",1/22/2017,10/18/2022,76,,
101350,1350,Current,"3,186.03",2/10/2005,10/18/2022,73,,
104435,4435,Savings,"4,817.30",2/6/2021,10/17/2022,27,,
100075,75,Savings,643.16,9/23/2016,10/17/2022,31,,
103600,3600,Current,"3,104.87",5/17/2003,10/17/2022,13,,
102615,2615,Savings,"5,751.76",1/31/2021,10/16/2022,95,,
101960,1960,Savings,"4,121.85",5/23/2017,10/16/2022,98,,
100920,920,Current,"6,747.70",3/8/2017,10/16/2022,27,,
102602,2602,Savings,"5,887.91",9/15/2022,10/15/2022,24,,
103660,3660,Current,646.68,5/27/2019,10/15/2022,45,,
103900,3900,Savings,555.39,2/16/2015,10/14/2022,71,,
101440,1440,Savings,"6,988.50",5/19/2009,10/14/2022,56,,
104690,4690,Current,"7,810.16",10/26/2004,10/14/2022,31,,
102305,2305,Current,"7,776.22",10/26/2001,10/14/2022,67,,
100170,170,Savings,"2,839.58",8/29/2020,10/13/2022,87,,
103510,3510,Current,"2,736.91",1/23/2020,10/13/2022,37,,
104235,4235,Savings,"2,083.21",7/31/2000,10/13/2022,22,,
103942,3942,Savings,"4,884.26",9/12/2022,10/12/2022,65,,
101270,1270,Current,"8,337.08",8/8/2020,10/12/2022,17,,
100715,715,Current,"8,893.82",1/16/2016,10/12/2022,69,,
104145,4145,Current,"4,326.64",1/26/2013,10/11/2022,75,,
103280,3280,Current,"5,147.04",7/18/2010,10/11/2022,91,,
102595,2595,Current,"7,642.54",11/5/2002,10/11/2022,57,,
103410,3410,Savings,904.17,1/12/2001,10/11/2022,13,,
103740,3740,Current,"3,516.79",12/26/2015,10/10/2022,41,,
101220,1220,Savings,"9,890.33",6/22/2006,10/10/2022,10,,
102295,2295,Savings,"4,064.03",10/30/2002,10/10/2022,48,,
100204,204,Current,"7,873.27",9/9/2022,10/9/2022,76,,
101710,1710,Savings,"6,436.96",9/24/2016,10/9/2022,87,,
104350,4350,Savings,790.87,12/6/2013,10/8/2022,19,,
101030,1030,Savings,"2,190.45",7/16/2011,10/8/2022,37,,
100995,995,Current,"5,788.44",3/2/2006,10/8/2022,79,,
104925,4925,Current,"5,108.71",3/30/2005,10/8/2022,20,,
102400,2400,Current,"4,804.32",9/4/2004,10/8/2022,29,,
100757,757,Current,"3,818.79",9/7/2022,10/7/2022,6,,
100810,810,Current,"7,708.63",2/17/2020,10/6/2022,85,,
104085,4085,Savings,"6,523.50",2/28/2019,10/6/2022,55,10/9/2023,
102300,2300,Savings,"7,993.42",8/24/2012,10/6/2022,82,10/10/2023,
104500,4500,Savings,"5,474.53",9/30/2018,10/5/2022,44,10/11/2023,
103505,3505,Current,"9,566.68",2/24/2018,10/5/2022,12,10/12/2023,
100055,55,Savings,"5,639.51",1/24/2013,10/5/2022,65,10/13/2023,
104225,4225,Current,"6,535.09",7/6/2014,10/4/2022,71,10/14/2023,
101365,1365,Savings,281.59,4/20/2004,10/4/2022,11,10/15/2023,
102730,2730,Savings,"1,855.24",2/10/2002,10/4/2022,96,10/16/2023,
104285,4285,Current,"9,724.00",9/9/2001,10/4/2022,44,10/17/2023,
101346,1346,Savings,"2,623.52",9/2/2022,10/2/2022,45,10/18/2023,
103790,3790,Current,"3,784.60",5/25/2022,10/2/2022,29,,
103220,3220,Current,"7,566.90",8/3/2017,10/2/2022,91,,
104340,4340,Savings,"2,739.83",10/5/2011,10/2/2022,20,,
102320,2320,Current,"4,467.35",2/7/2004,10/2/2022,48,,
102190,2190,Savings,"6,544.25",4/20/2013,10/1/2022,92,,
103365,3365,Current,"3,602.27",1/31/2001,9/30/2022,33,,
102565,2565,Savings,"9,043.83",5/14/2022,9/29/2022,44,,
104135,4135,Current,"5,715.80",11/8/2016,9/29/2022,3,,
103305,3305,Savings,"1,383.95",2/17/2014,9/29/2022,94,,
103165,3165,Savings,"2,294.48",9/15/2003,9/29/2022,69,,
100235,235,Savings,"8,682.06",1/19/2002,9/28/2022,22,,
104945,4945,Current,"3,780.55",8/28/2022,9/27/2022,56,,
101825,1825,Current,"5,185.25",4/24/2019,9/27/2022,69,,
100100,100,Current,"8,727.33",10/15/2004,9/27/2022,29,,
102070,2070,Savings,"5,436.07",5/15/2004,9/27/2022,70,,
104651,4651,Savings,"2,776.18",8/27/2022,9/26/2022,60,,
100375,375,Savings,"8,150.66",5/17/2017,9/26/2022,75,,
102445,2445,Savings,"6,599.56",3/22/2016,9/26/2022,63,,
101125,1125,Current,"5,522.42",4/20/2008,9/26/2022,97,,
103570,3570,Current,"7,048.62",8/18/2022,9/25/2022,48,,
104310,4310,Savings,"5,458.78",4/28/2019,9/24/2022,34,,
101450,1450,Savings,"1,666.59",4/22/2004,9/24/2022,19,,
103580,3580,Savings,"4,763.95",4/3/2002,9/23/2022,70,,
101345,1345,Current,"1,252.89",2/4/2004,9/22/2022,15,,
104125,4125,Current,"1,919.57",3/12/2002,9/22/2022,44,,
103645,3645,Savings,"4,763.22",7/25/2000,9/22/2022,30,,
104580,4580,Current,"8,196.59",8/22/2022,9/21/2022,22,,
102900,2900,Savings,"2,301.77",5/11/2015,9/21/2022,87,,
101560,1560,Savings,"4,259.79",10/30/2017,9/20/2022,6,,
101470,1470,Current,"6,066.34",3/15/2006,9/20/2022,18,,
101890,1890,Savings,"3,461.36",10/26/2011,9/19/2022,80,,
104550,4550,Savings,"3,187.47",10/3/2010,9/19/2022,81,,
104345,4345,Current,"8,715.96",8/1/2008,9/19/2022,20,,
102125,2125,Savings,"3,308.66",1/6/2008,9/19/2022,30,,
100905,905,Savings,"3,408.85",8/19/2022,9/18/2022,33,,
104995,4995,Savings,"7,658.37",11/15/2019,9/18/2022,92,,
103235,3235,Savings,"2,196.92",10/9/2008,9/18/2022,25,,
101460,1460,Current,"4,208.03",5/20/2002,9/18/2022,97,,
100685,685,Savings,"4,486.12",7/5/2011,9/17/2022,3,,
102475,2475,Current,"4,110.54",8/14/2010,9/17/2022,58,,
100665,665,Savings,171.19,12/25/2007,9/17/2022,96,,
102065,2065,Current,"9,284.00",7/29/2021,9/16/2022,20,,
104665,4665,Savings,"3,533.50",4/25/2019,9/16/2022,16,,
100700,700,Current,"3,564.00",11/22/2015,9/15/2022,75,,
104800,4800,Savings,"4,039.98",8/31/2014,9/15/2022,10,,
103060,3060,Current,"6,653.30",8/3/2007,9/15/2022,44,,
102770,2770,Savings,"6,323.35",1/25/2004,9/15/2022,62,,
101875,1875,Current,121.82,9/23/2020,9/14/2022,83,,
103320,3320,Current,"6,441.05",3/19/2020,9/14/2022,41,,
104040,4040,Current,"8,589.21",3/29/2014,9/14/2022,86,,
104545,4545,Current,"9,695.37",12/26/2006,9/14/2022,52,,
100215,215,Savings,"3,511.26",9/26/2005,9/14/2022,30,,
103230,3230,Current,"1,650.63",7/23/2003,9/14/2022,73,,
104405,4405,Savings,"8,240.34",7/20/2002,9/14/2022,8,,
103380,3380,Savings,"1,800.68",9/17/2001,9/14/2022,55,,
102635,2635,Current,"4,748.08",11/30/2020,9/13/2022,70,,
103760,3760,Current,"3,716.22",1/11/2017,9/13/2022,57,,
104815,4815,Current,"9,345.04",3/27/2005,9/13/2022,2,,
101790,1790,Savings,"3,727.76",5/23/2004,9/13/2022,19,,
103630,3630,Savings,"4,007.62",2/9/2017,9/12/2022,9,,
101935,1935,Current,"9,532.67",12/3/2013,9/12/2022,85,,
101110,1110,Savings,"3,043.57",1/11/2010,9/12/2022,83,,
103850,3850,Current,"7,412.19",4/28/2005,9/12/2022,49,,
104170,4170,Savings,"1,566.26",8/28/2017,9/11/2022,57,,
100820,820,Savings,"5,148.69",9/15/2005,9/11/2022,14,,
101055,1055,Savings,"4,772.62",11/6/2003,9/11/2022,1,,
100921,921,Savings,"8,140.01",8/11/2022,9/10/2022,55,,
104427,4427,Savings,"9,794.56",8/11/2022,9/10/2022,63,,
101555,1555,Current,"4,503.10",4/23/2019,9/10/2022,75,,
104730,4730,Current,"3,926.56",10/22/2008,9/10/2022,62,,
103820,3820,Savings,"4,108.24",11/3/2007,9/10/2022,10,,
101645,1645,Current,740.71,5/16/2012,9/9/2022,66,,
100690,690,Savings,"3,001.39",5/20/2019,9/8/2022,34,,
101580,1580,Savings,"8,819.06",1/16/2004,9/8/2022,14,,
102955,2955,Savings,"9,519.16",11/1/2002,9/8/2022,5,,
100340,340,Current,"9,813.97",12/27/2017,9/7/2022,22,,
104050,4050,Savings,"1,308.41",3/14/2007,9/7/2022,27,,
101650,1650,Current,"8,492.85",5/5/2018,9/6/2022,6,,
104245,4245,Current,"4,612.92",12/21/2020,9/5/2022,51,,
101455,1455,Current,"4,508.67",1/18/2017,9/5/2022,98,,
