DepositId,CustomerID,AccountNumber,DateDepositOpening,AmountDeposit,ResolutionDate
180,356,100356,9/20/2015,1169.05,12/10/2023
181,357,100357,1/24/2000,4771.23,4/27/2023
182,358,100358,11/18/2019,4794.00,11/21/2023
183,363,100363,12/27/2013,1597.56,5/5/2023
184,364,100364,5/19/2003,2899.75,2/19/2023
185,366,100366,4/10/2006,1874.86,5/10/2023
186,368,100368,11/19/2004,4853.94,11/30/2023
187,369,100369,12/6/2010,791.94,4/4/2023
188,371,100371,12/29/2009,3096.80,1/25/2023
189,372,100372,4/7/2020,390.94,5/4/2023
190,373,100373,8/11/2007,3105.37,8/2/2023
191,375,100375,5/17/2017,13.14,8/22/2023
192,376,100376,6/19/2005,2203.22,2/27/2023
193,377,100377,12/31/2021,3693.80,3/11/2023
194,379,100379,4/19/2000,917.79,12/17/2023
195,382,100382,3/16/2010,4745.81,2/8/2023
196,383,100383,12/18/2001,352.76,12/15/2023
197,384,100384,12/29/2014,4108.37,10/18/2023
198,385,100385,8/27/2018,4003.66,9/5/2023
199,386,100386,12/19/2001,2328.44,10/30/2023
200,387,100387,3/7/2021,680.19,5/11/2023
201,389,100389,10/10/2022,3616.69,12/9/2023
202,390,100390,10/30/2019,776.24,10/2/2023
203,392,100392,9/1/2006,4602.65,1/14/2023
204,393,100393,9/19/2007,947.46,7/9/2023
205,396,100396,3/17/2021,2405.58,12/23/2023
206,401,100401,8/13/2008,980.61,7/6/2023
207,403,100403,11/1/2005,1797.71,8/19/2023
208,404,100404,1/8/2019,1497.48,6/3/2023
209,406,100406,2/19/2012,1932.89,11/24/2023
210,411,100411,1/29/2006,1764.83,10/30/2023
211,412,100412,1/28/2000,942.07,4/24/2023
212,415,100415,6/20/2006,4012.93,8/2/2023
213,416,100416,4/26/2011,4578.81,10/12/2023
214,420,100420,4/29/2019,4003.20,1/31/2023
215,423,100423,10/24/2020,1801.67,2/5/2023
216,426,100426,3/27/2002,3814.19,12/4/2023
217,427,100427,1/8/2000,3958.99,6/8/2023
218,428,100428,5/4/2013,3414.35,3/16/2023
219,429,100429,12/7/2006,792.06,9/18/2023
220,431,100431,11/24/2000,1640.72,5/28/2023
221,432,100432,5/7/2013,4887.67,1/6/2023
222,434,100434,11/24/2010,803.87,12/1/2023
223,435,100435,10/2/2006,1441.71,10/21/2023
224,436,100436,8/4/2014,4072.57,9/12/2023
225,438,100438,4/10/2000,2989.76,11/8/2023
226,440,100440,5/21/2018,1521.94,9/2/2023
227,443,100443,12/28/2009,3151.51,4/4/2023
228,445,100445,10/4/2015,163.56,8/16/2023
229,446,100446,8/29/2001,1470.50,9/9/2023
230,455,100455,10/6/2001,4586.65,6/13/2023
231,456,100456,8/19/2001,4933.48,10/19/2023
232,459,100459,6/2/2012,2813.65,12/5/2023
233,463,100463,9/9/2007,4472.48,4/19/2023
234,464,100464,11/7/2015,552.55,8/2/2023
235,465,100465,7/30/2000,458.55,12/19/2023
236,466,100466,2/8/2002,771.56,10/4/2023
237,469,100469,9/16/2000,3558.27,4/30/2023
238,470,100470,10/20/2004,4522.46,12/29/2023
239,471,100471,2/15/2000,1469.85,6/27/2023
240,473,100473,4/29/2022,1822.83,1/10/2023
241,474,100474,12/27/2007,687.50,1/16/2023
242,477,100477,3/6/2021,3516.03,12/21/2023
243,478,100478,10/5/2004,814.66,8/3/2023
244,481,100481,11/29/2000,1257.76,3/5/2023
245,483,100483,7/9/2001,121.57,2/19/2023
246,484,100484,3/16/2013,4521.29,10/26/2023
247,486,100486,3/9/2003,2096.31,3/12/2023
248,489,100489,1/15/2021,1115.97,7/23/2023
249,492,100492,2/3/2010,2689.48,11/5/2023
250,493,100493,4/24/2005,845.61,11/21/2023
251,495,100495,5/29/2008,783.61,10/18/2023
252,496,100496,3/18/2019,420.77,11/29/2023
253,499,100499,5/27/2021,933.34,2/16/2023
254,501,100501,9/28/2020,212.45,4/27/2023
255,502,100502,2/2/2018,7.32,3/4/2023
256,503,100503,3/24/2021,1168.65,6/9/2023
257,504,100504,3/24/2019,4332.59,8/5/2023
258,510,100510,2/16/2016,3919.21,3/27/2023
259,511,100511,12/9/2012,2977.93,2/7/2023
260,512,100512,3/29/2017,979.55,7/18/2023
261,514,100514,11/14/2002,4051.82,5/9/2023
262,517,100517,7/16/2015,1289.22,1/3/2023
263,518,100518,8/9/2021,4347.56,12/25/2023
264,521,100521,10/5/2010,4803.86,1/11/2023
265,523,100523,1/29/2018,1248.43,11/13/2023
266,524,100524,11/4/2015,3668.92,2/10/2023
267,526,100526,9/14/2010,2206.79,12/16/2023
268,529,100529,4/29/2012,3670.94,12/12/2023
269,530,100530,10/29/2005,2935.92,1/18/2023
270,532,100532,9/20/2022,4482.73,3/20/2023
271,535,100535,8/10/2012,484.57,2/22/2023
272,536,100536,10/30/2005,3322.58,11/21/2023
273,537,100537,2/8/2011,178.70,8/12/2023
274,538,100538,8/28/2000,1260.02,8/10/2023
275,539,100539,11/17/2022,2240.79,5/15/2023
276,540,100540,2/5/2004,4225.95,7/19/2023
277,544,100544,12/11/2013,2285.51,4/28/2023
278,545,100545,7/22/2016,3211.17,9/1/2023
279,546,100546,7/24/2007,1723.01,2/11/2023
280,548,100548,11/4/2002,552.54,8/29/2023
281,549,100549,2/10/2001,692.89,7/31/2023
282,550,100550,12/7/2002,4420.15,12/13/2023
283,554,100554,8/26/2012,312.07,8/31/2023
284,555,100555,9/1/2016,4298.77,8/9/2023
285,559,100559,1/21/2015,3151.82,6/8/2023
286,560,100560,3/8/2014,1851.53,9/16/2023
287,563,100563,8/21/2007,4338.96,12/8/2023
288,568,100568,4/22/2014,3681.76,8/11/2023
289,569,100569,6/22/2013,4101.55,1/12/2023
290,570,100570,3/2/2010,1206.57,11/21/2023
291,573,100573,11/26/2009,4245.37,1/9/2023
292,575,100575,12/4/2007,1336.51,5/15/2023
293,579,100579,8/6/2013,3440.56,1/1/2023
294,580,100580,8/23/2020,4087.53,8/19/2023
295,583,100583,8/9/2012,4955.93,11/16/2023
296,584,100584,7/31/2002,2720.12,2/18/2023
297,585,100585,3/29/2012,3329.66,4/13/2023
298,587,100587,3/15/2017,1409.69,5/29/2023
299,589,100589,8/25/2006,1931.50,12/21/2023
300,591,100591,3/27/2020,4135.05,5/28/2023
301,592,100592,9/14/2021,775.14,5/6/2023
302,593,100593,3/24/2005,299.10,10/21/2023
303,594,100594,4/28/2007,700.82,7/20/2023
304,595,100595,2/6/2009,3893.22,10/31/2023
305,596,100596,12/21/2015,3645.80,5/23/2023
306,597,100597,2/15/2007,3011.38,7/3/2023
307,601,100601,4/30/2012,4852.56,5/21/2023
308,605,100605,4/6/2014,1052.52,6/4/2023
309,606,100606,5/19/2002,895.49,4/29/2023
310,607,100607,6/4/2008,2211.29,7/7/2023
311,608,100608,6/23/2002,2604.25,11/27/2023
312,609,100609,7/15/2005,3441.48,9/28/2023
313,612,100612,7/18/2003,1694.55,11/25/2023
314,617,100617,2/17/2002,2177.10,6/29/2023
315,618,100618,2/16/2015,3849.33,4/29/2023
316,620,100620,8/8/2020,1225.43,5/18/2023
317,622,100622,12/31/2021,1523.54,6/25/2023
318,624,100624,11/26/2021,1765.73,10/7/2023
319,626,100626,8/8/2018,3216.63,9/6/2023
320,632,100632,7/4/2017,908.32,2/23/2023
321,633,100633,4/25/2020,2909.92,1/5/2023
322,636,100636,6/2/2001,1695.25,8/9/2023
323,638,100638,10/8/2018,426.23,6/6/2023
324,640,100640,3/7/2015,2589.20,10/26/2023
325,647,100647,6/2/2019,3039.71,12/31/2023
326,649,100649,3/19/2000,2030.72,11/14/2023
327,651,100651,3/7/2001,4356.42,3/23/2023
328,653,100653,2/18/2012,3001.28,1/29/2023
329,654,100654,10/13/2011,267.82,3/6/2023
330,659,100659,5/23/2008,2790.32,2/6/2023
331,662,100662,6/16/2019,4091.47,11/9/2023
332,665,100665,12/25/2007,949.74,12/25/2023
333,668,100668,1/15/2012,3513.14,4/27/2023
334,672,100672,3/22/2017,444.71,4/22/2023
335,674,100674,1/29/2015,2676.55,5/20/2023
336,675,100675,8/5/2013,1599.52,4/8/2023
337,677,100677,6/4/2000,4913.77,8/4/2023
338,681,100681,10/25/2022,4747.53,8/20/2023
339,683,100683,5/23/2003,2778.80,5/13/2023
340,684,100684,6/20/2020,3682.02,7/13/2023
341,685,100685,7/5/2011,4232.71,6/22/2023
342,687,100687,8/11/2010,605.86,10/11/2023
343,688,100688,3/21/2022,4055.77,10/4/2023
344,689,100689,6/6/2003,956.79,9/27/2023
345,690,100690,5/20/2019,1705.88,5/9/2023
346,691,100691,6/19/2019,4406.79,1/22/2023
347,692,100692,12/30/2022,3325.55,9/17/2023
348,694,100694,10/28/2004,1216.61,5/16/2023
349,698,100698,10/2/2001,3237.98,6/26/2023
350,701,100701,5/6/2008,1167.95,7/11/2023
351,702,100702,11/1/2008,1459.12,4/4/2023
352,706,100706,10/20/2016,1671.10,3/1/2023
353,707,100707,5/12/2017,3398.56,11/29/2023
354,708,100708,9/15/2020,3754.78,12/13/2023
355,710,100710,9/13/2013,2313.30,3/13/2023
356,711,100711,2/13/2007,1679.68,8/9/2023
357,712,100712,10/31/2015,3509.58,4/4/2023
358,714,100714,7/23/2005,2134.51,2/6/2023
359,717,100717,8/30/2019,2184.71,5/11/2023
360,718,100718,2/6/2006,521.48,12/28/2023
361,719,100719,12/8/2008,1714.68,2/18/2023
362,724,100724,10/27/2005,4938.76,1/17/2023
363,725,100725,10/30/2010,4702.46,6/12/2023
364,730,100730,1/8/2021,1899.25,11/19/2023
365,731,100731,12/8/2001,3376.87,10/9/2023
366,732,100732,10/2/2007,769.50,2/28/2023
367,733,100733,1/9/2010,4475.66,9/24/2023
368,736,100736,1/3/2003,3076.20,10/10/2023
369,737,100737,5/4/2005,4298.86,3/2/2023
370,738,100738,4/1/2009,1119.73,7/14/2023
371,739,100739,6/21/2010,3186.71,7/27/2023
372,740,100740,11/22/2007,1114.41,8/21/2023
373,741,100741,1/14/2017,1307.16,12/24/2023
374,744,100744,3/19/2022,4010.68,6/27/2023
375,745,100745,1/25/2005,1407.91,2/10/2023
376,748,100748,7/9/2020,2317.35,11/2/2023
377,759,100759,12/24/2010,4642.50,4/1/2023
378,760,100760,5/11/2011,1202.20,5/19/2023
379,762,100762,5/1/2007,1276.11,2/8/2023
380,763,100763,8/2/2006,936.02,2/3/2023
381,765,100765,6/29/2003,3633.41,5/31/2023
382,767,100767,2/15/2003,1505.81,8/13/2023
383,768,100768,4/15/2004,2260.28,1/6/2023
384,769,100769,3/16/2020,3023.73,7/16/2023
385,771,100771,11/5/2020,3907.78,2/8/2023
386,773,100773,6/2/2012,2709.92,3/21/2023
387,774,100774,6/9/2014,4108.47,1/16/2023
388,776,100776,12/14/2007,1034.72,1/26/2023
389,781,100781,7/18/2004,4509.59,6/9/2023
390,785,100785,6/6/2004,3142.06,3/1/2023
391,786,100786,8/16/2001,4936.26,11/8/2023
392,788,100788,10/9/2001,812.67,1/10/2023
393,789,100789,8/22/2003,4385.71,12/27/2023
394,792,100792,3/27/2019,4225.51,8/13/2023
395,793,100793,5/19/2003,1891.01,7/17/2023
396,794,100794,7/18/2015,140.52,4/1/2023
397,795,100795,12/27/2003,1824.11,12/29/2023
398,797,100797,10/1/2007,2570.10,2/28/2023
399,798,100798,3/21/2010,4745.81,2/5/2023
400,799,100799,3/25/2021,4425.55,10/17/2023
401,801,100801,11/1/2018,3782.78,4/28/2023
402,805,100805,8/23/2012,4516.80,3/31/2023
403,806,100806,1/24/2015,1406.27,12/23/2023
404,808,100808,6/15/2013,1608.51,5/29/2023
405,811,100811,3/28/2000,3361.40,1/5/2023
406,814,100814,12/24/2002,443.47,6/21/2023
407,816,100816,7/6/2008,3228.26,6/12/2023
408,817,100817,10/29/2003,1456.40,2/26/2023
409,820,100820,9/15/2005,3933.46,5/11/2023
410,822,100822,2/16/2012,832.81,11/25/2023
411,824,100824,5/30/2002,597.29,2/22/2023
412,826,100826,6/12/2018,673.53,1/11/2023
413,829,100829,8/8/2005,4769.07,2/21/2023
414,830,100830,1/3/2006,3008.18,7/1/2023
415,835,100835,5/3/2000,3825.98,5/25/2023
416,838,100838,6/13/2019,4356.20,8/2/2023
417,840,100840,1/25/2013,614.51,3/8/2023
418,842,100842,12/2/2006,1365.02,7/19/2023
419,843,100843,3/27/2019,2852.91,12/24/2023
420,845,100845,10/27/2017,3219.57,3/21/2023
421,847,100847,9/30/2013,197.53,7/24/2023
422,848,100848,4/2/2005,995.23,11/11/2023
423,849,100849,6/7/2020,4256.83,8/14/2023
424,852,100852,3/8/2012,4858.38,9/28/2023
425,854,100854,3/24/2017,3329.89,2/25/2023
426,855,100855,9/2/2000,1922.44,7/25/2023
427,857,100857,4/7/2019,3351.62,7/29/2023
428,859,100859,9/22/2018,138.16,3/6/2023
429,861,100861,6/5/2002,4975.47,3/17/2023
430,862,100862,9/7/2011,2246.13,4/2/2023
431,863,100863,5/24/2002,4785.14,8/5/2023
432,864,100864,1/10/2007,4907.18,10/22/2023
433,865,100865,8/23/2003,3231.91,4/13/2023
434,868,100868,4/11/2010,2730.63,2/24/2023
435,869,100869,5/3/2012,524.80,8/25/2023
436,872,100872,10/30/2021,2194.95,12/28/2023
437,873,100873,7/31/2012,752.24,1/7/2023
438,874,100874,7/21/2001,4027.61,8/8/2023
439,875,100875,1/16/2013,2705.63,8/16/2023
440,876,100876,3/3/2018,1351.88,10/19/2023
441,877,100877,11/25/2015,78.45,3/12/2023
442,879,100879,9/7/2007,3836.14,5/8/2023
443,880,100880,8/15/2007,1819.63,12/12/2023
444,884,100884,10/11/2016,1350.78,12/24/2023
445,886,100886,8/25/2014,3806.09,7/25/2023
446,890,100890,10/23/2021,3137.62,8/31/2023
447,894,100894,9/20/2004,2608.73,12/19/2023
448,895,100895,1/11/2017,33.63,9/7/2023
449,896,100896,2/27/2017,2501.06,4/3/2023
450,897,100897,5/20/2006,1778.63,3/24/2023
451,898,100898,2/18/2019,229.18,11/17/2023
452,901,100901,1/20/2022,4566.88,3/21/2023
453,904,100904,10/22/2008,2207.24,5/2/2023
454,905,100905,8/19/2022,1616.66,2/8/2023
455,906,100906,5/6/2016,4208.11,9/27/2023
456,908,100908,6/15/2021,3658.22,11/25/2023
457,909,100909,2/7/2016,4322.17,5/3/2023
458,910,100910,10/3/2019,4356.67,6/1/2023
459,914,100914,7/24/2005,4227.42,10/8/2023
460,916,100916,12/4/2010,3745.14,1/23/2023
461,917,100917,12/28/2021,3087.61,2/22/2023
462,919,100919,2/24/2010,4643.25,2/7/2023
463,921,100921,8/11/2022,318.75,9/19/2023
464,922,100922,5/29/2000,3327.14,6/21/2023
465,924,100924,12/23/2020,4209.52,11/24/2023
466,927,100927,6/23/2001,4396.88,12/24/2023
467,928,100928,12/26/2004,495.63,12/5/2023
468,929,100929,4/20/2006,2247.17,7/11/2023
469,930,100930,12/15/2006,3146.79,6/25/2023
470,931,100931,3/3/2007,3161.87,4/11/2023
471,932,100932,3/8/2020,2240.53,1/3/2023
472,933,100933,10/20/2007,1652.52,2/1/2023
473,934,100934,8/11/2021,1505.69,1/27/2023
474,935,100935,8/19/2014,4867.37,6/21/2023
475,936,100936,12/30/2017,1700.28,4/15/2023
476,937,100937,4/30/2015,2906.35,7/5/2023
477,939,100939,1/14/2015,2854.25,4/17/2023
478,940,100940,7/14/2009,3106.09,1/26/2023
479,941,100941,11/12/2015,1312.23,12/29/2023
480,943,100943,10/18/2015,352.33,11/6/2023
481,946,100946,12/6/2013,857.17,10/24/2023
482,947,100947,9/20/2004,4166.94,1/26/2023
483,948,100948,5/5/2004,2909.46,3/7/2023
484,952,100952,2/20/2001,2775.92,6/27/2023
485,953,100953,1/31/2018,2190.04,10/2/2023
486,958,100958,4/20/2008,1890.64,7/1/2023
487,959,100959,5/4/2012,4703.78,7/19/2023
488,961,100961,9/12/2012,1281.79,5/23/2023
489,964,100964,8/6/2020,788.06,5/14/2023
490,965,100965,3/15/2006,1489.53,1/27/2023
491,966,100966,12/27/2009,1463.87,6/4/2023
492,969,100969,6/17/2020,2894.68,2/7/2023
493,970,100970,12/29/2017,2462.58,5/7/2023
494,971,100971,11/10/2000,4742.46,6/25/2023
495,974,100974,9/14/2014,3424.39,8/7/2023
496,975,100975,5/19/2004,1602.10,7/4/2023
497,977,100977,3/2/2007,150.44,4/2/2023
498,979,100979,1/26/2011,407.83,9/22/2023
499,982,100982,10/10/2002,3266.74,11/12/2023
500,983,100983,1/7/2012,10.58,5/12/2023
501,985,100985,8/21/2009,3540.39,6/27/2023
502,986,100986,11/13/2008,3041.41,3/27/2023
503,987,100987,7/8/2009,2572.06,10/16/2023
504,991,100991,11/5/2002,1941.39,1/2/2023
505,993,100993,2/21/2022,2599.19,6/29/2023
506,994,100994,8/17/2002,2052.57,7/24/2023
507,998,100998,6/27/2013,1720.69,11/24/2023
508,999,100999,10/25/2000,2898.78,9/14/2023
509,1001,101001,8/18/2017,3717.79,12/3/2023
510,1005,101005,7/22/2003,1133.54,9/19/2023
511,1010,101010,5/30/2017,4330.49,9/3/2023
512,1011,101011,10/14/2003,256.63,12/18/2023
513,1012,101012,5/1/2002,4361.59,4/26/2023
514,1013,101013,5/2/2015,3881.36,10/4/2023
515,1014,101014,2/19/2014,3942.37,6/1/2023
516,1015,101015,12/3/2006,4551.51,7/31/2023
517,1016,101016,1/12/2017,2833.36,12/24/2023
518,1019,101019,8/16/2012,3421.38,7/9/2023
519,1021,101021,3/15/2016,4031.97,11/16/2023
520,1022,101022,9/30/2004,173.45,5/3/2023
521,1027,101027,8/27/2009,1183.90,5/23/2023
522,1029,101029,4/15/2012,2493.10,7/18/2023
523,1030,101030,7/16/2011,1876.23,2/5/2023
524,1034,101034,5/23/2022,4451.47,7/3/2023
525,1035,101035,12/23/2002,3073.67,8/25/2023
526,1038,101038,11/12/2016,4977.26,10/13/2023
527,1046,101046,11/14/2019,4244.09,11/16/2023
528,1049,101049,1/18/2004,786.83,1/19/2023
529,1050,101050,4/11/2012,2596.47,2/2/2023
530,1052,101052,7/4/2003,1158.39,11/24/2023
531,1054,101054,2/17/2006,1537.03,7/17/2023
532,1055,101055,11/6/2003,1674.09,2/7/2023
533,1056,101056,10/25/2020,4566.86,6/6/2023
534,1058,101058,6/5/2017,22.00,3/1/2023
535,1061,101061,2/26/2011,3606.06,6/21/2023
536,1062,101062,11/15/2014,4912.68,11/17/2023
537,1066,101066,8/23/2011,2905.19,4/28/2023
538,1068,101068,12/23/2022,3979.68,12/3/2023
