CustomerID,AccountNumber,TransactionID,TransactionDate,TransactionType,TransactionAmount,BranchID,CardID,CardType,CreditLimit,PaymentDueDate,LastPaymentDate,ResolutionStatus,ResolutionDate
15,100015,15,6/13/2023,Withdrawal,2631.77,77,15,AMEX,2345.93,12/28/2023,5/23/2023,Pending,9/23/2023
16,100016,16,10/23/2023,Transfer,4486.73,31,16,Visa,2673.10,2/2/2023,1/3/2023,Pending,5/23/2023
17,100017,17,11/15/2023,Transfer,2086.75,96,17,AMEX,2838.82,4/20/2023,10/19/2023,Pending,5/1/2023
18,100018,18,9/12/2023,Deposit,3333.99,36,18,MasterCard,8388.99,8/10/2023,11/12/2023,Resolved,6/3/2023
19,100019,19,11/15/2023,Withdrawal,3868.23,41,19,AMEX,9371.27,5/12/2023,9/10/2023,Resolved,3/7/2023
20,100020,20,9/30/2023,Deposit,933.29,61,20,MasterCard,7650.68,5/24/2023,1/21/2023,Pending,10/4/2023
21,100021,21,2/7/2023,Withdrawal,4278.95,29,21,MasterCard,1374.25,1/31/2023,8/31/2023,Pending,9/7/2023
22,100022,22,7/1/2023,Transfer,2249.62,34,22,MasterCard,6394.78,9/23/2023,12/5/2023,Pending,12/10/2023
23,100023,23,7/6/2023,Deposit,292.88,19,23,Visa,8026.74,11/17/2023,3/17/2023,Resolved,10/4/2023
24,100024,24,1/25/2023,Deposit,4395.73,90,24,AMEX,5693.70,5/7/2023,6/3/2023,Resolved,12/10/2023
25,100025,25,11/29/2023,Transfer,2826.12,5,25,AMEX,1720.05,5/29/2023,11/18/2023,Resolved,3/1/2023
26,100026,26,5/22/2023,Transfer,999.63,20,26,Visa,5608.25,6/5/2023,11/8/2023,Pending,4/14/2023
27,100027,27,5/4/2023,Withdrawal,1594.08,78,27,AMEX,6736.21,1/21/2023,7/4/2023,Pending,8/20/2023
28,100028,28,1/25/2023,Deposit,2851.17,29,28,AMEX,6126.15,11/16/2023,7/31/2023,Pending,2/23/2023
29,100029,29,10/18/2023,Transfer,1877.13,3,29,AMEX,7494.66,9/20/2023,6/6/2023,Pending,6/10/2023
30,100030,30,12/1/2023,Withdrawal,1174.58,84,30,Visa,3404.77,2/18/2023,12/14/2023,Resolved,9/12/2023
31,100031,31,6/24/2023,Withdrawal,2401.76,25,31,AMEX,7278.03,5/27/2023,6/11/2023,Pending,6/5/2023
32,100032,32,8/20/2023,Transfer,933.38,69,32,Visa,3997.31,1/3/2023,2/27/2023,Resolved,8/25/2023
33,100033,33,5/25/2023,Deposit,1234.44,55,33,MasterCard,7417.07,3/27/2023,10/22/2023,Resolved,7/25/2023
34,100034,34,12/11/2023,Transfer,4135.40,56,34,Visa,5395.87,9/23/2023,5/11/2023,Resolved,2/11/2023
35,100035,35,1/23/2023,Transfer,1150.42,29,35,AMEX,8046.16,7/30/2023,9/4/2023,Resolved,1/29/2023
36,100036,36,8/12/2023,Withdrawal,3479.88,41,36,Visa,5522.52,5/31/2023,10/18/2023,Pending,11/14/2023
37,100037,37,5/2/2023,Withdrawal,1259.84,2,37,MasterCard,3589.10,3/9/2023,3/13/2023,Resolved,1/3/2023
38,100038,38,8/11/2023,Withdrawal,1069.87,6,38,AMEX,9908.09,7/30/2023,12/10/2023,Resolved,6/3/2023
39,100039,39,8/18/2023,Transfer,1263.27,59,39,AMEX,3179.12,2/20/2023,1/30/2023,Resolved,1/24/2023
40,100040,40,1/17/2023,Withdrawal,2346.81,65,40,MasterCard,4623.60,5/28/2023,3/21/2023,Resolved,1/14/2023
41,100041,41,10/12/2023,Transfer,739.94,31,41,Visa,7976.79,2/24/2023,11/24/2023,Pending,3/16/2023
42,100042,42,1/2/2023,Transfer,542.00,91,42,MasterCard,5660.53,1/23/2023,10/20/2023,Pending,3/9/2023
43,100043,43,9/24/2023,Withdrawal,3786.14,46,43,AMEX,7147.73,12/12/2023,3/20/2023,Resolved,11/19/2023
44,100044,44,1/16/2023,Transfer,126.28,60,44,MasterCard,5391.71,8/25/2023,1/9/2023,Resolved,8/18/2023
45,100045,45,12/3/2023,Withdrawal,1933.57,46,45,AMEX,6494.58,5/22/2023,6/15/2023,Resolved,7/6/2023
46,100046,46,1/21/2023,Transfer,1986.21,19,46,AMEX,5610.23,7/12/2023,6/6/2023,Pending,8/31/2023
47,100047,47,9/8/2023,Transfer,4466.28,1,47,MasterCard,9925.21,1/19/2023,10/23/2023,Resolved,1/1/2023
48,100048,48,10/4/2023,Withdrawal,3874.71,95,48,MasterCard,2867.41,1/27/2023,6/23/2023,Resolved,7/25/2023
49,100049,49,1/6/2023,Transfer,2558.28,18,49,MasterCard,9023.88,6/4/2023,8/9/2023,Resolved,3/18/2023
50,100050,50,10/29/2023,Transfer,2404.27,7,50,Visa,5180.67,2/11/2023,6/23/2023,Resolved,2/4/2023
51,100051,51,8/25/2023,Withdrawal,2832.35,32,51,AMEX,1226.63,3/29/2023,4/2/2023,Resolved,12/11/2023
52,100052,52,1/23/2023,Deposit,1795.56,99,52,AMEX,9801.79,11/29/2023,3/19/2023,Pending,6/22/2023
53,100053,53,11/10/2023,Withdrawal,3506.88,96,53,AMEX,8825.31,8/5/2023,3/9/2023,Pending,12/7/2023
54,100054,54,7/4/2023,Deposit,3433.50,59,54,MasterCard,1662.19,11/2/2023,6/16/2023,Resolved,2/6/2023
55,100055,55,8/12/2023,Transfer,2877.53,65,55,AMEX,4451.64,8/14/2023,6/29/2023,Pending,10/10/2023
56,100056,56,2/8/2023,Deposit,297.89,97,56,MasterCard,8771.57,4/8/2023,6/11/2023,Resolved,10/4/2023
57,100057,57,1/31/2023,Withdrawal,642.92,12,57,MasterCard,5559.78,7/5/2023,1/17/2023,Pending,2/27/2023
58,100058,58,1/2/2023,Transfer,205.99,45,58,Visa,9315.29,11/28/2023,4/26/2023,Pending,12/4/2023
59,100059,59,12/8/2023,Deposit,3595.39,24,59,AMEX,6365.93,6/14/2023,7/24/2023,Resolved,5/5/2023
60,100060,60,6/14/2023,Withdrawal,2393.22,54,60,Visa,8287.30,11/28/2023,7/9/2023,Resolved,12/16/2023
61,100061,61,10/27/2023,Deposit,4775.36,4,61,MasterCard,5051.49,5/30/2023,11/30/2023,Resolved,1/2/2023
62,100062,62,5/7/2023,Withdrawal,4762.12,79,62,AMEX,1834.47,6/23/2023,7/31/2023,Resolved,8/31/2023
63,100063,63,11/15/2023,Transfer,3992.87,96,63,AMEX,3042.97,11/12/2023,10/6/2023,Pending,8/15/2023
64,100064,64,3/16/2023,Withdrawal,2220.81,24,64,AMEX,2220.55,9/20/2023,3/9/2023,Pending,1/30/2023
65,100065,65,11/5/2023,Deposit,1588.59,23,65,AMEX,8216.62,7/11/2023,11/8/2023,Pending,12/3/2023
66,100066,66,3/17/2023,Transfer,1012.86,89,66,MasterCard,9313.17,8/11/2023,11/14/2023,Resolved,2/21/2023
67,100067,67,12/16/2023,Transfer,1170.15,49,67,AMEX,3075.82,4/26/2023,9/30/2023,Pending,4/25/2023
68,100068,68,10/2/2023,Withdrawal,4951.69,90,68,AMEX,3895.30,8/12/2023,6/4/2023,Resolved,9/9/2023
69,100069,69,10/28/2023,Transfer,2656.44,21,69,AMEX,7657.60,4/3/2023,2/22/2023,Resolved,5/21/2023
70,100070,70,8/23/2023,Deposit,71.14,70,70,Visa,4900.65,6/13/2023,3/3/2023,Resolved,12/19/2023
71,100071,71,2/24/2023,Transfer,231.02,22,71,AMEX,8291.94,1/17/2023,10/19/2023,Resolved,5/23/2023
72,100072,72,7/18/2023,Withdrawal,2299.24,75,72,Visa,3866.07,5/21/2023,10/9/2023,Resolved,9/6/2023
73,100073,73,1/29/2023,Withdrawal,2222.97,37,73,Visa,5748.09,1/30/2023,10/1/2023,Resolved,5/3/2023
74,100074,74,10/31/2023,Transfer,2033.74,30,74,AMEX,8505.91,11/26/2023,7/25/2023,Pending,7/22/2023
75,100075,75,11/24/2023,Deposit,4119.78,31,75,MasterCard,4149.29,10/30/2023,3/10/2023,Pending,5/19/2023
76,100076,76,3/4/2023,Transfer,3518.75,33,76,MasterCard,6771.04,3/2/2023,2/6/2023,Pending,3/31/2023
77,100077,77,5/29/2023,Transfer,546.01,76,77,AMEX,6816.02,12/8/2023,8/1/2023,Pending,5/29/2023
78,100078,78,11/9/2023,Withdrawal,1819.77,27,78,MasterCard,4167.36,7/17/2023,2/2/2023,Resolved,9/11/2023
79,100079,79,9/26/2023,Transfer,2987.43,78,79,AMEX,7692.29,10/13/2023,1/20/2023,Resolved,8/22/2023
80,100080,80,6/4/2023,Deposit,1918.62,58,80,AMEX,5756.90,1/21/2023,7/17/2023,Pending,6/16/2023
81,100081,81,7/15/2023,Deposit,1049.44,1,81,AMEX,6346.33,8/7/2023,8/24/2023,Resolved,12/16/2023
82,100082,82,12/10/2023,Deposit,3143.98,64,82,MasterCard,4514.98,10/30/2023,4/30/2023,Resolved,4/4/2023
83,100083,83,4/15/2023,Deposit,3015.22,72,83,MasterCard,1809.62,7/22/2023,5/4/2023,Resolved,3/19/2023
84,100084,84,9/22/2023,Deposit,4873.30,72,84,AMEX,7285.15,5/21/2023,7/11/2023,Pending,7/11/2023
85,100085,85,3/15/2023,Transfer,2809.74,93,85,AMEX,4087.24,4/12/2023,10/31/2023,Resolved,4/13/2023
86,100086,86,3/16/2023,Deposit,4372.74,26,86,MasterCard,6476.25,3/25/2023,12/9/2023,Resolved,3/18/2023
87,100087,87,4/7/2023,Deposit,4746.49,90,87,AMEX,9170.78,3/7/2023,12/16/2023,Pending,2/24/2023
88,100088,88,8/29/2023,Transfer,2179.57,49,88,Visa,8514.73,8/8/2023,4/13/2023,Pending,3/19/2023
89,100089,89,5/19/2023,Transfer,273.94,84,89,Visa,6663.31,5/26/2023,3/21/2023,Pending,2/19/2023
90,100090,90,4/19/2023,Deposit,726.04,44,90,MasterCard,3047.11,8/11/2023,8/7/2023,Resolved,8/25/2023
91,100091,91,1/28/2023,Deposit,2524.81,43,91,Visa,5646.98,5/28/2023,2/11/2023,Pending,4/8/2023
92,100092,92,4/12/2023,Withdrawal,4465.86,49,92,MasterCard,4373.69,9/27/2023,11/30/2023,Pending,5/11/2023
93,100093,93,12/16/2023,Deposit,3274.12,52,93,Visa,6319.51,9/2/2023,7/21/2023,Pending,8/18/2023
94,100094,94,4/29/2023,Deposit,1015.39,71,94,MasterCard,7582.01,7/19/2023,9/12/2023,Resolved,7/27/2023
95,100095,95,3/13/2023,Withdrawal,3508.21,32,95,Visa,7536.36,12/12/2023,3/17/2023,Pending,4/26/2023
96,100096,96,1/27/2023,Transfer,4472.15,55,96,MasterCard,1512.66,10/27/2023,12/26/2023,Resolved,4/26/2023
97,100097,97,5/30/2023,Transfer,160.83,18,97,Visa,4355.01,10/4/2023,11/17/2023,Resolved,7/25/2023
98,100098,98,6/19/2023,Transfer,1221.63,86,98,AMEX,4510.45,10/6/2023,1/14/2023,Resolved,6/23/2023
99,100099,99,6/9/2023,Deposit,774.37,59,99,MasterCard,2685.39,7/30/2023,7/22/2023,Pending,2/10/2023
100,100100,100,5/22/2023,Withdrawal,3922.67,29,100,AMEX,5380.02,1/3/2023,4/1/2023,Resolved,3/31/2023
101,100101,101,6/3/2023,Withdrawal,4458.47,32,101,MasterCard,3511.78,3/7/2023,9/23/2023,Pending,12/17/2023
102,100102,102,9/7/2023,Deposit,2777.24,54,102,MasterCard,4126.54,4/23/2023,7/12/2023,Resolved,5/7/2023
103,100103,103,7/2/2023,Deposit,4242.53,84,103,MasterCard,6153.34,7/18/2023,9/8/2023,Pending,7/9/2023
104,100104,104,7/22/2023,Deposit,3288.12,31,104,AMEX,8627.02,1/13/2023,3/20/2023,Pending,4/28/2023
105,100105,105,3/12/2023,Deposit,3286.93,43,105,MasterCard,4854.94,5/3/2023,4/16/2023,Pending,6/5/2023
106,100106,106,7/2/2023,Transfer,2902.74,41,106,MasterCard,5861.01,9/27/2023,3/14/2023,Resolved,9/20/2023
107,100107,107,6/22/2023,Withdrawal,259.59,8,107,MasterCard,8157.08,7/21/2023,4/19/2023,Pending,2/11/2023
108,100108,108,1/30/2023,Withdrawal,4685.52,43,108,Visa,4867.49,4/3/2023,10/6/2023,Resolved,3/15/2023
109,100109,109,11/18/2023,Withdrawal,1785.30,51,109,AMEX,4475.64,3/25/2023,9/26/2023,Pending,8/1/2023
110,100110,110,12/21/2023,Transfer,4014.86,8,110,MasterCard,6993.33,1/21/2023,7/19/2023,Pending,11/4/2023
111,100111,111,6/3/2023,Transfer,4051.82,9,111,AMEX,3437.91,7/21/2023,5/18/2023,Pending,12/14/2023
112,100112,112,3/30/2023,Withdrawal,4829.15,78,112,AMEX,1256.36,3/12/2023,3/11/2023,Pending,9/26/2023
113,100113,113,8/9/2023,Transfer,1640.23,46,113,Visa,2209.70,11/10/2023,5/20/2023,Pending,12/8/2023
114,100114,114,11/7/2023,Transfer,4987.02,33,114,AMEX,3479.44,10/30/2023,5/17/2023,Resolved,4/14/2023
115,100115,115,12/24/2023,Withdrawal,1509.87,58,115,Visa,8283.82,7/30/2023,9/26/2023,Pending,10/28/2023
116,100116,116,11/17/2023,Deposit,2262.34,79,116,AMEX,2894.62,12/29/2023,3/4/2023,Resolved,8/6/2023
117,100117,117,1/25/2023,Withdrawal,3534.19,94,117,Visa,6586.05,8/7/2023,4/30/2023,Resolved,8/27/2023
118,100118,118,4/8/2023,Deposit,783.39,94,118,Visa,3783.95,1/17/2023,10/17/2023,Pending,9/15/2023
119,100119,119,2/11/2023,Transfer,1339.20,31,119,AMEX,1529.45,10/3/2023,6/4/2023,Resolved,9/6/2023
120,100120,120,10/27/2023,Deposit,3643.29,69,120,AMEX,8489.28,2/25/2023,1/23/2023,Resolved,6/28/2023
121,100121,121,3/10/2023,Deposit,4872.18,83,121,MasterCard,9401.57,5/19/2023,9/26/2023,Pending,3/22/2023
122,100122,122,12/27/2023,Deposit,3666.67,48,122,Visa,2496.41,3/28/2023,12/18/2023,Resolved,1/12/2023
123,100123,123,9/21/2023,Deposit,4312.87,11,123,AMEX,5587.79,4/1/2023,11/19/2023,Resolved,8/22/2023
124,100124,124,12/28/2023,Transfer,197.06,74,124,MasterCard,3590.78,4/13/2023,4/24/2023,Resolved,1/18/2023
125,100125,125,3/4/2023,Withdrawal,2889.36,33,125,AMEX,5948.94,10/13/2023,6/10/2023,Pending,9/19/2023
126,100126,126,7/25/2023,Withdrawal,4571.32,61,126,Visa,7321.96,12/15/2023,2/9/2023,Resolved,7/25/2023
127,100127,127,5/28/2023,Deposit,3415.16,88,127,MasterCard,9860.94,2/6/2023,5/9/2023,Pending,6/21/2023
128,100128,128,11/25/2023,Withdrawal,3385.55,15,128,AMEX,4135.25,7/13/2023,10/17/2023,Pending,1/7/2023
129,100129,129,9/12/2023,Withdrawal,1023.17,29,129,MasterCard,3290.08,5/7/2023,12/24/2023,Resolved,1/31/2023
130,100130,130,9/8/2023,Withdrawal,4307.09,27,130,AMEX,7014.85,10/2/2023,4/29/2023,Pending,1/6/2023
131,100131,131,9/18/2023,Withdrawal,4326.58,20,131,AMEX,8587.19,11/6/2023,5/31/2023,Resolved,12/22/2023
132,100132,132,5/9/2023,Transfer,3073.90,36,132,Visa,1251.09,1/25/2023,12/28/2023,Resolved,4/21/2023
133,100133,133,1/11/2023,Withdrawal,2138.82,14,133,MasterCard,1390.08,7/16/2023,4/8/2023,Resolved,2/23/2023
134,100134,134,1/17/2023,Deposit,4123.12,37,134,AMEX,6231.45,10/22/2023,2/14/2023,Resolved,3/30/2023
135,100135,135,3/9/2023,Withdrawal,2330.33,88,135,AMEX,2174.01,12/21/2023,8/15/2023,Resolved,2/11/2023
136,100136,136,1/5/2023,Transfer,4114.85,49,136,MasterCard,6662.18,1/7/2023,5/10/2023,Resolved,3/26/2023
137,100137,137,7/25/2023,Withdrawal,2429.73,36,137,MasterCard,6093.49,4/17/2023,11/30/2023,Resolved,9/18/2023
138,100138,138,3/23/2023,Deposit,2903.17,58,138,MasterCard,8212.72,5/24/2023,12/20/2023,Pending,4/1/2023
139,100139,139,3/8/2023,Transfer,3742.63,93,139,MasterCard,8175.18,10/16/2023,1/11/2023,Resolved,6/28/2023
140,100140,140,9/2/2023,Withdrawal,1332.32,15,140,Visa,8492.02,2/16/2023,10/16/2023,Resolved,6/12/2023
141,100141,141,9/24/2023,Deposit,1241.76,39,141,Visa,9408.31,7/7/2023,4/18/2023,Resolved,11/20/2023
142,100142,142,8/27/2023,Deposit,3342.53,5,142,Visa,6312.22,7/31/2023,12/27/2023,Resolved,12/16/2023
143,100143,143,8/19/2023,Deposit,4770.03,97,143,MasterCard,2303.07,5/27/2023,9/27/2023,Resolved,2/25/2023
144,100144,144,8/16/2023,Withdrawal,2235.71,45,144,Visa,9231.54,7/4/2023,4/28/2023,Resolved,12/19/2023
145,100145,145,6/2/2023,Transfer,4492.03,1,145,AMEX,9968.85,6/11/2023,10/30/2023,Pending,3/5/2023
146,100146,146,2/11/2023,Withdrawal,2595.75,47,146,Visa,1346.18,7/16/2023,9/21/2023,Pending,11/3/2023
147,100147,147,10/18/2023,Transfer,4869.92,34,147,AMEX,6418.03,8/3/2023,5/22/2023,Resolved,6/4/2023
148,100148,148,3/20/2023,Transfer,3962.32,8,148,AMEX,4367.88,9/5/2023,5/20/2023,Resolved,5/2/2023
149,100149,149,2/28/2023,Deposit,4299.19,88,149,Visa,3733.76,10/12/2023,7/30/2023,Pending,7/25/2023
150,100150,150,4/27/2023,Deposit,3401.22,54,150,AMEX,7923.47,5/12/2023,4/24/2023,Pending,11/5/2023
151,100151,151,9/6/2023,Deposit,4343.78,87,151,AMEX,3712.46,9/2/2023,12/19/2023,Resolved,7/29/2023
152,100152,152,2/17/2023,Withdrawal,2968.06,60,152,Visa,2347.08,10/5/2023,4/13/2023,Pending,8/22/2023
153,100153,153,8/1/2023,Transfer,2841.01,77,153,AMEX,3183.69,7/26/2023,9/6/2023,Pending,7/29/2023
154,100154,154,9/16/2023,Deposit,4369.82,37,154,Visa,5836.36,1/28/2023,1/3/2023,Resolved,8/2/2023
155,100155,155,1/24/2023,Withdrawal,85.18,46,155,MasterCard,3287.64,2/11/2023,4/26/2023,Resolved,11/20/2023
156,100156,156,8/24/2023,Transfer,2399.11,18,156,MasterCard,4145.51,6/27/2023,1/18/2023,Pending,1/20/2023
157,100157,157,7/16/2023,Transfer,4351.67,10,157,AMEX,6173.40,12/16/2023,10/7/2023,Pending,4/18/2023
158,100158,158,12/23/2023,Withdrawal,988.79,68,158,AMEX,7228.70,8/24/2023,5/17/2023,Pending,7/27/2023
159,100159,159,2/2/2023,Transfer,4790.47,71,159,AMEX,1630.36,7/24/2023,10/4/2023,Pending,8/11/2023
160,100160,160,11/22/2023,Withdrawal,3705.60,86,160,Visa,4703.32,9/26/2023,6/23/2023,Pending,3/13/2023
161,100161,161,6/24/2023,Deposit,3814.49,76,161,MasterCard,7430.25,1/12/2023,2/4/2023,Resolved,1/20/2023
162,100162,162,2/22/2023,Transfer,3330.73,24,162,MasterCard,3950.70,6/1/2023,6/5/2023,Resolved,6/19/2023
163,100163,163,6/22/2023,Withdrawal,2242.90,47,163,MasterCard,7817.04,6/4/2023,11/11/2023,Pending,9/28/2023
164,100164,164,7/30/2023,Deposit,2310.17,37,164,MasterCard,4082.07,9/5/2023,8/12/2023,Resolved,8/8/2023
165,100165,165,11/9/2023,Deposit,4197.15,72,165,AMEX,7833.65,10/25/2023,3/1/2023,Resolved,2/20/2023
166,100166,166,8/1/2023,Deposit,704.31,84,166,MasterCard,9602.15,10/28/2023,8/23/2023,Pending,3/21/2023
167,100167,167,7/17/2023,Transfer,2615.12,43,167,MasterCard,5537.35,7/2/2023,8/29/2023,Pending,11/24/2023
168,100168,168,10/23/2023,Deposit,1556.64,82,168,AMEX,5344.80,1/14/2023,7/10/2023,Pending,11/28/2023
169,100169,169,1/3/2023,Deposit,4921.74,25,169,AMEX,5360.21,4/12/2023,12/19/2023,Pending,8/1/2023
170,100170,170,2/18/2023,Deposit,28.43,87,170,Visa,9571.27,10/19/2023,12/17/2023,Pending,11/15/2023
171,100171,171,1/14/2023,Withdrawal,327.73,18,171,AMEX,2433.47,6/27/2023,3/5/2023,Resolved,6/7/2023
172,100172,172,7/25/2023,Transfer,4837.27,51,172,MasterCard,7662.66,3/15/2023,2/14/2023,Pending,10/7/2023
173,100173,173,7/13/2023,Deposit,2723.52,46,173,MasterCard,7207.61,11/16/2023,10/24/2023,Resolved,6/27/2023
174,100174,174,10/8/2023,Transfer,701.29,75,174,MasterCard,6691.97,8/15/2023,7/30/2023,Resolved,7/11/2023
175,100175,175,9/17/2023,Deposit,2248.72,59,175,Visa,7654.68,5/22/2023,3/17/2023,Resolved,6/13/2023
176,100176,176,9/4/2023,Withdrawal,1620.06,39,176,Visa,3873.79,3/22/2023,7/28/2023,Resolved,6/18/2023
177,100177,177,3/4/2023,Deposit,4556.93,78,177,Visa,9352.22,1/2/2023,9/30/2023,Pending,8/13/2023
178,100178,178,2/24/2023,Transfer,3441.02,86,178,AMEX,9170.27,3/22/2023,9/17/2023,Pending,10/27/2023
179,100179,179,9/15/2023,Deposit,661.29,38,179,MasterCard,3074.32,9/5/2023,10/2/2023,Resolved,5/3/2023
180,100180,180,1/23/2023,Transfer,2686.86,55,180,Visa,5629.23,10/31/2023,7/15/2023,Pending,11/5/2023
181,100181,181,4/18/2023,Transfer,680.96,79,181,MasterCard,3822.26,5/9/2023,10/13/2023,Pending,3/31/2023
182,100182,182,6/25/2023,Withdrawal,3329.50,5,182,Visa,8116.98,12/28/2023,2/16/2023,Resolved,9/17/2023
183,100183,183,1/15/2023,Deposit,3638.86,5,183,AMEX,9102.64,10/20/2023,2/14/2023,Pending,2/12/2023
184,100184,184,11/3/2023,Transfer,2815.18,50,184,AMEX,5814.61,6/25/2023,10/3/2023,Pending,4/19/2023
185,100185,185,6/1/2023,Withdrawal,4830.12,42,185,MasterCard,3885.67,8/11/2023,5/19/2023,Pending,12/24/2023
186,100186,186,10/3/2023,Transfer,4722.23,19,186,MasterCard,6808.84,9/3/2023,7/11/2023,Resolved,10/10/2023
187,100187,187,11/8/2023,Withdrawal,1037.52,34,187,Visa,2281.89,6/5/2023,9/1/2023,Resolved,3/7/2023
188,100188,188,2/7/2023,Deposit,11.64,53,188,MasterCard,5579.63,1/18/2023,1/20/2023,Pending,7/26/2023
189,100189,189,10/8/2023,Deposit,3317.12,80,189,MasterCard,7827.75,12/2/2023,1/31/2023,Resolved,11/9/2023
190,100190,190,3/27/2023,Deposit,2383.45,21,190,MasterCard,3365.06,11/10/2023,10/4/2023,Pending,10/20/2023
191,100191,191,11/20/2023,Deposit,1679.95,45,191,MasterCard,4527.44,6/12/2023,4/13/2023,Pending,12/24/2023
192,100192,192,3/21/2023,Deposit,4585.28,96,192,MasterCard,6889.00,12/5/2023,6/24/2023,Resolved,6/12/2023
193,100193,193,11/16/2023,Deposit,4892.75,60,193,MasterCard,9637.01,6/25/2023,11/4/2023,Pending,5/24/2023
194,100194,194,6/20/2023,Transfer,4653.58,53,194,AMEX,1714.43,3/13/2023,7/18/2023,Resolved,5/17/2023
195,100195,195,3/12/2023,Transfer,2505.97,19,195,Visa,2400.35,7/6/2023,2/13/2023,Pending,11/28/2023
196,100196,196,3/29/2023,Withdrawal,3519.75,88,196,AMEX,2151.57,9/9/2023,3/26/2023,Resolved,4/25/2023
197,100197,197,2/26/2023,Deposit,866.15,35,197,MasterCard,2985.56,6/21/2023,9/21/2023,Pending,4/13/2023
198,100198,198,6/16/2023,Deposit,4754.77,82,198,MasterCard,1545.49,11/3/2023,9/23/2023,Resolved,10/7/2023
199,100199,199,4/29/2023,Transfer,1425.55,14,199,MasterCard,4259.28,4/9/2023,2/24/2023,Resolved,12/20/2023
200,100200,200,10/12/2023,Withdrawal,971.77,86,200,MasterCard,3525.57,9/25/2023,12/21/2023,Resolved,9/27/2023
201,100201,201,8/24/2023,Withdrawal,310.19,94,201,Visa,2783.10,9/7/2023,12/14/2023,Pending,12/7/2023
202,100202,202,11/16/2023,Withdrawal,2756.35,12,202,Visa,3316.81,4/19/2023,1/2/2023,Resolved,5/14/2023
203,100203,203,10/30/2023,Deposit,4742.83,49,203,MasterCard,6791.64,5/26/2023,10/21/2023,Resolved,6/16/2023
204,100204,204,1/20/2023,Deposit,686.59,76,204,Visa,7200.60,4/6/2023,2/12/2023,Resolved,10/3/2023
205,100205,205,1/7/2023,Withdrawal,612.94,94,205,AMEX,9356.31,6/15/2023,3/21/2023,Resolved,5/30/2023
206,100206,206,7/29/2023,Deposit,1370.26,3,206,Visa,2892.66,9/2/2023,4/15/2023,Resolved,4/14/2023
207,100207,207,8/26/2023,Deposit,3330.32,96,207,MasterCard,1909.04,11/22/2023,4/18/2023,Resolved,7/5/2023
208,100208,208,12/16/2023,Deposit,2743.59,27,208,MasterCard,1527.50,5/21/2023,10/23/2023,Pending,8/14/2023
209,100209,209,4/24/2023,Deposit,490.07,92,209,MasterCard,5437.87,8/16/2023,6/4/2023,Pending,9/8/2023
210,100210,210,11/5/2023,Withdrawal,2217.08,82,210,AMEX,6813.25,9/8/2023,4/9/2023,Pending,11/20/2023
211,100211,211,6/7/2023,Withdrawal,343.99,25,211,MasterCard,3156.94,11/28/2023,6/21/2023,Resolved,8/9/2023
212,100212,212,11/18/2023,Transfer,4261.00,15,212,MasterCard,6991.48,10/18/2023,12/31/2023,Resolved,2/16/2023
213,100213,213,5/7/2023,Deposit,544.49,27,213,AMEX,2686.51,1/2/2023,12/28/2023,Resolved,5/26/2023
214,100214,214,7/22/2023,Deposit,2361.78,15,214,AMEX,3001.84,12/7/2023,10/11/2023,Resolved,6/18/2023
215,100215,215,8/12/2023,Deposit,2557.21,30,215,AMEX,6978.03,8/7/2023,7/22/2023,Pending,10/4/2023
